Code,Name,Location,Regional_Style,Period,Form,Body_Shape,Soundbox_Chamber_Count,Waist_Presence,Neck_Length,Neck_Width,Body_Neck_Boundary,Head_Angle,Pegbox Presence,Maximum_String_Count,Soundhole_Count,Soundhole_Shape,Obvious_Fret,Obvious_Plectrum,Obvious_Pickguard,Code,Collection,Source_Type_1,Citation_1,Source_Type_2,Citation_2,Source_Type_3,Citation_3,Source_Type_4,Citation_4
AD-01,Andan Dheri Long Neck Lute,Andan Dheri,Gandhara,100-500 CE,Relief,round,single,no,long,parallel,perpendicular,straight,no,4,0,n,FALSE,TRUE,FALSE,AD-01,Dir Museum,literature,"Galli, 2011, p. 318",,,,,,
AF-01,Afrasiab Lute Player,Afrasiab,Bactria,0-100 CE,Figurine,round,single,no,short,parallel,perpendicular,n,n,4,0,n,FALSE,TRUE,FALSE,AF-01,State Hermitage Museum,literature,https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/,catalogue,"World Society for the Study, 2020c. p. 139",catalogue,"Besseler & Schneider, 1987, p. 93",,
AJ-01,"Kinnara with Kachchapa Veena,_part_of_the_Bodhisattva_Padmapani Cave_1 Ajanta",Ajanta,Deccan,450-490 CE,Painting,waterdrop,single,no,short,parallel,smooth,straight,no,5,0,n,FALSE,TRUE,FALSE,AJ-01,in_situ,online_gallery,"https://en.wikipedia.org/wiki/File:Kinnara_with_kachchapa_veena,_part_of_the_Bodhisattva_Padmapani,_Cave_1,_Ajanta,_India.jpg",catalogue,"Besseler & Schneider, 1981, p. 173",,,,
AK-01,Angka Kala Lutenist,Angka Kala,Bactria,0-100 CE,Figurine,rectangular,single,no,short,n,n,n,n,n,0,n,FALSE,FALSE,FALSE,AK-01,State Hermitage Museum,catalogue,"The World Society for the Study, 2020a, p. 348 ",,,,,,
AM-01,Life Scenes of Buddha with Musicians,Amaravati ,Deccan,200-300 CE,Relief,waterdrop,single,no,short,tapering,smooth,straight,yes,5,2,n,FALSE,FALSE,FALSE,AM-01,"Indian Museum, Kolkata",online_gallery,https://commons.wikimedia.org/wiki/File:27.4._Life_scenes_of_Buddha-2nd_century_CE-Limestone-Amravati-Andhra_Pradesh-Sculpture_Gallery-Indian_Museum-Kolkata-_A1-A25070.jpg,catalogue,https://www.soundsofangkor.org/english/ancient-music/lute/ soundsofangkor.org,catalogue,"Besseler & Schneider, 1981, p. 101",,
AT-01,Ayrtam Frieze ,Ayrtam,Bactria,200-300 CE,Relief,rectangular,single,yes,short,n,obtuse,n,n,4,4,crescent,FALSE,TRUE,FALSE,AT-01,Russia?,catalogue,"The World Society for the Study, 2020c, pp. 126-129 ",,,,,,
AY-01,Anyang Fancui Grave Sogdian Lute Player,Anyang,Sogdian,575 CE,Vessel,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,FALSE,FALSE,AY-01,Henan Museum,online_collection,https://www.chnmus.net/ch/collection/appraise/details.html?id=512151357700927565,catalogue,"World Society for the Study, 2021. p. 432",literature,"Muradova, 2017",,
AY-02,Anyang Funerary Bed Lute 1,Anyang,Sogdian,550–577 CE,Relief,ovoid,single,no,short,tapering,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,FALSE,AY-02,Smithsonian: National Museum of Asian Art,online_collection,https://sogdians.si.edu/anyang-funerary-bed/,online_collection,https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/,,,,
AY-03,Anyang Funerary Bed Lute 2,Anyang,Sogdian,550–577 CE,Relief,waterdrop,single,no,short,tapering,smooth,straight,yes,5,0,n,FALSE,TRUE,FALSE,AY-03,Smithsonian: National Museum of Asian Art,online_collection,https://sogdians.si.edu/anyang-funerary-bed/,online_collection,https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/,,,,
AY-04,Anyang Zhangsheng Tomb Female Musician with a Lute,Anyang,China,594 CE,Figurine,ovoid,single,no,short,parallel,obtuse,straight,yes,3,0,n,FALSE,FALSE,FALSE,AY-04,The Metropolitan Museum of Art,online_collection,https://www.metmuseum.org/art/collection/search/62948,,,,,,
AY-05,Anyang Zhangsheng Tomb Lute 1,Anyang,China,594 CE,Figurine,ovoid,single,no,short,parallel,obtuse,bent_backwards,yes,4,0,n,TRUE,TRUE,TRUE,AY-05,Henan Museum,online_collection,https://www.chnmus.net/ch/collection/appraise/details.html?id=512157282454020857,,,,,,
AY-06,Anyang Zhangsheng Tomb Lute 2,Anyang,China,594 CE,Figurine,waterdrop,single,no,short,parallel,smooth,straight,yes,n,0,n,TRUE,TRUE,TRUE,AY-06,Henan Museum,online_collection,https://www.chnmus.net/ch/collection/appraise/details.html?id=512157282454020857,,,,,,
BY-01,Beshyar Lute Player,Beshyar,Tarim_Basin,700-800 CE,Painting,waterdrop,single,no,short,tapering,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,FALSE,BY-01,Japan?,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 190",,,,,,
