"ID","Title","Date","Location","Author","Source","Image Path","record","Note","Code","Period","Regional_Style","Name","Body_Shape","Soundbox_Chamber_Count","Form","Body_Neck_Boundary","Neck_Width","Waist_Presence","Neck_Length","Soundhole_Count","Maximum_String_Count","Pegbox Presence","Head_Angle","Code","Obvious_Plectrum","Collection","Soundhole_Shape","Obvious_Pickguard","Obvious_Fret","Citation_1","Source_Type_2","Source_Type_3","Source_Type_4","Citation_2","Source_Type_1","Citation_3","Citation_4"
"LI-003","AJ-01","","Ajanta","","","images/LI-003/001-Kinnara_with_kachchapa_veena,_part_of_the_Bodhisattva_Padmapani,_Cave_1,_Ajanta,_India.jpg","2026-06-04T11:50:11.018Z","","AJ-01","450-490 CE","Deccan","Kinnara with Kachchapa Veena,_part_of_the_Bodhisattva_Padmapani Cave_1 Ajanta","waterdrop","single","Painting","smooth","parallel","no","short","0","5","no","straight","AJ-01","TRUE","in_situ","n","FALSE","FALSE","https://en.wikipedia.org/wiki/File:Kinnara_with_kachchapa_veena,_part_of_the_Bodhisattva_Padmapani,_Cave_1,_Ajanta,_India.jpg","catalogue","","","Besseler & Schneider, 1981, p. 173","online_gallery","",""
"LI-002","AF-01","","Afrasiab","","","","2026-06-04T11:50:11.017Z","","AF-01","0-100 CE","Bactria","Afrasiab Lute Player","round","single","Figurine","perpendicular","parallel","no","short","0","4","n","n","AF-01","TRUE","State Hermitage Museum","n","FALSE","FALSE","https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/","catalogue","catalogue","","World Society for the Study, 2020c. p. 139","literature","Besseler & Schneider, 1987, p. 93",""
"LI-001","AD-01","","Andan Dheri","","","images/LI-001/001-Long-neck-lute-in-Andan-Dheri-2.png; images/LI-001/002-Long-neck-lute-in-Andan-Dheri-1.png","2026-06-04T11:50:11.017Z","","AD-01","100-500 CE","Gandhara","Andan Dheri Long Neck Lute","round","single","Relief","perpendicular","parallel","no","long","0","4","no","straight","AD-01","TRUE","Dir Museum","n","FALSE","FALSE","Galli, 2011, p. 318","","","","","literature","",""
"LI-138","YL-01","","Yulin Cave","","","","2026-06-04T11:50:11.046Z","","YL-01","1038-1227 CE","China","Yulin 10 Music Scene","ovoid","single","Painting","smooth","parallel","no","short","2","4","yes","bent_backwards","YL-01","TRUE","in_situ","crescent","TRUE","FALSE","Dunhuang Academy, 2012, p. 62","catalogue","","","Gao, 2008, p. 57","catalogue","",""
"LI-139","YL-02","","Yulin Cave","","","","2026-06-04T11:50:11.046Z","","YL-02","756-835 CE","China","Yulin 25 Music Scene","ovoid","single","Painting","smooth","parallel","no","short","2","4","yes","straight","YL-02","TRUE","in_situ","crescent","TRUE","FALSE","Dunhuang Academy, 2012, pp. 25-26","","","","","catalogue","",""
"LI-140","YS-01","","Yusufzai","","","","2026-06-04T11:50:11.046Z","","YS-01","0-300 CE","Gandhara","Yusufzai Lute Player","waterdrop","single","Relief","smooth","parallel","yes","short","2","3","yes","straight","YS-01","FALSE","Victoria and Albert Museum","crescent","FALSE","FALSE","https://collections.vam.ac.uk/item/O1270758/photograph/","online_gallery","","","https://commons.wikimedia.org/wiki/File:Man_playing_Lyre_from_Yusufzai_Gandhara.jpg","online_collection","",""
"LI-141","ZD-01","","? Zhangdefu","","","","2026-06-04T11:50:11.046Z","","ZD-01","550–577 CE","China","Sogdian Tomb Panel","gourd","double","Relief","smooth","parallel","yes","short","0","5","yes","straight","ZD-01","FALSE","Miho Museum","n","FALSE","FALSE","https://www.miho.jp/booth/html/artcon/00000432e.htm","catalogue","catalogue","","Arnold, 1996, pp. 142-145","online_collection","The World Society for the Study, 2022. pp. 288-289",""
"LI-142","ZL-01","","Zhaoling","","","","2026-06-04T11:50:11.046Z","","ZL-01","647 CE","China","Zhaoling Li Simo Music Scene","waterdrop","single","Painting","smooth","tapering","no","short","2","n","yes","straight","ZL-01","FALSE","in_situ","crescent","TRUE","FALSE","Zhang, 2006, p. 18","","","","","catalogue","",""
"LI-143","ZL-02","","Zhaoling","","","","2026-06-04T11:50:11.046Z","","ZL-02","671 CE","China","Zhaoling Yan Concubine Music Scene","ovoid","single","Painting","smooth","tapering","no","short","2","5","yes","straight","ZL-02","TRUE","in_situ","ring","FALSE","TRUE","Zhang, 2006, p. 175","","","","","catalogue","",""
"LI-134","YK-03","","Yotkan","","","","2026-06-04T11:50:11.045Z","","YK-03","100-300 CE","Tarim_Basin","Yotkan Monkey Playing Lute 3","waterdrop","single","Figurine","smooth","tapering","no","short","2","3","n","straight","YK-03","FALSE","British Museum","ring","FALSE","FALSE","https://www.britishmuseum.org/collection/object/A_MAS-113","","","","","online_collection","",""
"LI-135","YK-04","","Yotkan","","","","2026-06-04T11:50:11.045Z","","YK-04","0-700 CE","Tarim_Basin","Yotkan Monkey Playing Lute 4","waterdrop","single","Figurine","smooth","tapering","no","short","2","4","yes","straight","YK-04","FALSE","British Museum","ring","FALSE","FALSE","https://www.britishmuseum.org/collection/object/A_1907-1111-30?selectedImageId=1613752095","","","","","online_collection","",""
